                                                             ,                                             ,                                                , W10 v1909 #1, W10 v1909 #2, W10 v2004 #1, W10 v2004 #2, W10 v2004 w/ WSL2 #1, W10 v2004 w/ WSL2 #2, Variance, Analysis
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , Overall Score                               ,                                                , 987         , 991         , 995         , 993         , 999                 , 999                 , 1.21%   , Within margin of error
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , GPU Score                                   ,                                                , 96.7        , 96.6        , 101.1       , 101.1       , 101.4               , 101.7               ,         , 
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , General Score                               ,                                                , 78.8        , 78.6        , 81.9        , 81.9        , 82.2                , 82.2                ,         , 
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , Filter Score                                ,                                                , 118.5       , 119.5       , 117         , 116.7       , 117.6               , 117.6               ,         , 
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , RAW File Open                               , Best Time                                      , 0.793       , 0.773       , 0.779       , 0.78        , 0.786               , 0.776               ,         , 
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , Resize to 500MB                             , Best Time                                      , 2.52        , 2.483       , 2.553       , 2.548       , 2.556               , 2.512               ,         , 
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , Rotate                                      , Best Time                                      , 0.987       , 0.982       , 1.02        , 1.011       , 0.996               , 0.987               ,         , 
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , Magic Wand Select                           , Best Time                                      , 9.831       , 9.788       , 10.623      , 10.614      , 10.546              , 10.54               ,         , 
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , Mask Refinement                             , Best Time                                      , 3.772       , 3.795       , 3.584       , 3.605       , 3.581               , 3.564               ,         , 
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , Paint Bucket                                , Best Time                                      , 1.569       , 1.575       , 1.715       , 1.713       , 1.698               , 1.745               ,         , 
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , Gradient                                    , Best Time                                      , 0.419       , 0.4         , 0.414       , 0.429       , 0.416               , 0.427               ,         , 
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , Camera Raw Filter                           , Best Time                                      , 5.595       , 5.592       , 5.586       , 5.599       , 5.563               , 5.578               ,         , 
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , Lens Correction                             , Best Time                                      , 17.631      , 17.9        , 17.881      , 18.088      , 18.033              , 18.104              ,         , 
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , Content Aware Fill                          , Best Time                                      , 5.111       , 5.107       , 5.058       , 5.085       , 5.024               , 5.025               ,         , 
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , Reduce Noise                                , Best Time                                      , 18.655      , 18.639      , 18.633      , 18.628      , 18.501              , 18.585              ,         , 
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , Smart Sharpen                               , Best Time                                      , 14.541      , 14.541      , 14.429      , 14.454      , 14.353              , 14.412              ,         , 
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , Field Blur                                  , Best Time                                      , 14.021      , 14.105      , 13.001      , 13.003      , 12.911              , 12.91               ,         , 
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , Tilt-Shift Blur                             , Best Time                                      , 13.602      , 13.747      , 12.592      , 12.611      , 12.564              , 12.581              ,         , 
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , Iris Blur                                   , Best Time                                      , 14.663      , 14.718      , 13.601      , 13.613      , 13.565              , 13.568              ,         , 
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , Adaptive Wide Angle                         , Best Time                                      , 72.101      , 72.355      , 69.069      , 68.517      , 68.94               , 68.673              ,         , 
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , Liquify                                     , Best Time                                      , 6.509       , 6.319       , 5.962       , 5.867       , 5.932               , 5.792               ,         , 
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , PSD File Save                               , Best Time                                      , 95.957      , 96.39       , 96.629      , 96.241      , 95.938              , 95.997              ,         , 
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)              , PSD File Open                               , Best Time                                      , 12.374      , 12.404      , 12.384      , 12.315      , 12.306              , 12.283              ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Overall Score                               ,                                                , 1128.5      , 1125.5      , 1122        , 1118        , 1116.5              , 1121.5              , 1.07%   , Within margin of error
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Active Score                                ,                                                , 89          , 89          , 85.3        , 85.1        , 84.4                , 84.5                ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Passive Score                               ,                                                , 136.7       , 136.1       , 139.1       , 138.5       , 138.9               , 139.8               ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Import 500x Images                          , Average Score                                  , 64.7        , 63.4        , 63.7        , 64.4        , 66.2                , 72                  ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Library Module Loupe Scroll                 , Average Score                                  , 99.3        , 98.6        , 97.9        , 98.2        , 98.2                , 97.9                ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Develop Module Loupe Scroll                 , Average Score                                  , 97.7        , 100.5       , 95.3        , 93.6        , 94.4                , 95.3                ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Library to Develop Switch                   , Average Score                                  , 95.1        , 94.2        , 91.5        , 91.3        , 91.9                , 90.7                ,         , 
PugetBench for Lightroom Classic 0.91 (Lightroom Classic 9.2), Develop Module Auto WB/Tone                 , Average Score                                  , 63.7        , 62.8        , 56.4        , 57.2        , 53.1                , 54.1                ,         , 
